,,Number of Spares,,,,,,,,,
Products,Telcorida MTBF (hrs.),1,2,3,4,5,6,7,8,9,10
BMM,179000,52,321,864,1657,2661,3842,5172,6628,8195,9857
NLM,63000,18,113,304,583,936,1352,1820,2333,2884,3469
TEM,179000,52,321,864,1657,2661,3842,5172,6628,8195,9857
TAM,400000,118,718,1931,3703,5947,8586,11558,14813,18313,22026
MCM,196000,58,351,946,1814,2914,4207,5663,7258,8973,10793
DTC,247000,73,443,1192,2287,3672,5302,7137,9147,11308,13601
D-FAN,286000,84,513,1381,2648,4252,6139,8264,10591,13093,15749
M-FAN,286000,84,513,1381,2648,4252,6139,8264,10591,13093,15749
D-PEM,1818000,538,3263,8779,16833,27033,39026,52531,67325,83233,100112
OAM,250000,74,448,1207,2314,3717,5366,7223,9258,11445,13766
OMM,208000,61,373,1004,1925,3092,4465,6010,7702,9522,11454
OTC,370000,109,664,1786,3426,5501,7942,10691,13702,16939,20374
O-FAN,833000,246,1495,4022,7713,12386,17881,24069,30848,38137,45871
O-PEM,2000000,592,3590,9658,18519,29739,42933,57790,74065,91565,110134
A-FAN,833000,246,1495,4022,7713,12386,17881,24069,30848,38137,45871
AAM,1213000,359,2177,5857,11231,18036,26039,35049,44920,55534,66796
AMM,313000,92,561,1511,2898,4654,6719,9044,11591,14330,17236
ATN,935000,276,1678,4515,8657,13903,20071,27017,34625,42807,51487
ATN-PS,1250000,370,2244,6036,11574,18587,26833,36118,46291,57228,68834
OFM,2485000,735,4461,12000,23010,36951,53344,71804,92026,113770,136842
SIM,871000,257,1563,4206,8065,12951,18697,25167,32255,39876,47963
BMM2,111000,32,199,536,1027,1650,2382,3207,4110,5081,6112
GAM,714000,211,1281,3447,6611,10616,15327,20631,26441,32689,39318
ANLM,63000,18,113,304,583,936,1352,1820,2333,2884,3469
DSE,333000,98,597,1608,3083,4951,7148,9622,12331,15245,18337
OAM-LG,250000,74,448,1207,2314,3717,5366,7223,9258,11445,13766
ORM,208000,61,373,1004,1925,3092,4465,6010,7702,9522,11454
RAM/REM,250000,74,448,1207,2314,3717,5366,7223,9258,11445,13766
CMM1D,83000,24,149,400,768,1234,1781,2398,3073,3799,4570
X-FAN,417000,123,748,2013,3861,6200,8951,12049,15442,19091,22963
X-PEM,500000,148,897,2414,4629,7434,10733,14447,18516,22891,27533
nLM-80,48000,14,86,231,444,713,1030,1386,1777,2197,2643
OLM-500,31447,9,56,152,291,468,675,909,1165,1440,1732
OLM2-500,31447,9,56,152,291,468,675,909,1165,1440,1732
OTM,78000,23,140,376,722,1159,1674,2253,2888,3571,4295
OXM,167000,49,299,806,1546,2483,3584,4825,6184,7645,9196
SCM,167000,49,299,806,1546,2483,3584,4825,6184,7645,9196
TIM-100G,185000,54,332,893,1713,2750,3971,5345,6851,8469,10187
TIM-10G,200000,59,359,965,1851,2973,4293,5779,7406,9156,11013
TIM-40G,278000,82,499,1342,2574,4133,5967,8032,10295,12727,15308
TOM-100G,250000,74,448,1207,2314,3717,5366,7223,9258,11445,13766
TOM-10G,2222000,657,3989,10730,20574,33040,47698,64205,82287,101729,122359
TOM-1G,4000000,1184,7181,19316,37038,59478,85866,115580,148131,183131,220269
TOM-2.5G,1538000,455,2761,7427,14241,22869,33015,44440,56956,70414,84693
TOM-40G,385000,113,691,1859,3564,5724,8264,11124,14257,17626,21200
TOM-nHD,2000000,592,3590,9658,18519,29739,42933,57790,74065,91565,110134
TSM,1000000,296,1795,4829,9259,14869,21466,28895,37032,45782,55067
XCM,100000,29,179,482,925,1486,2146,2889,3703,4578,5506
XTC-10,167000,49,299,806,1546,2483,3584,4825,6184,7645,9196
XTC-4,167000,49,299,806,1546,2483,3584,4825,6184,7645,9196
CX-500,31447,9,56,152,291,468,675,909,1165,1440,1732
CX-FAN,4762000,1410,8549,22996,44093,70808,102222,137596,176347,218014,262225
CX-PEM,1666667,493,2992,8049,15433,24783,35778,48159,61722,76305,91779
XMM,200000,59,359,966,1852,2974,4293,5779,7407,9157,11013
CX-1200,70000,21,125,337,645,1037,1496,2014,2581,3191,3839
CX2-FAN,4762000,1410,8549,22996,44093,70808,102222,137596,176347,218014,262225
CX2-PEM,530000,157,951,2558,4904,7876,11370,15305,19615,24249,29167
XMM2,200000,59,359,966,1852,2974,4293,5779,7407,9157,11013
XT-3300,70000,21,125,337,645,1037,1496,2014,2581,3191,3839
XT-3600,34000,10,61,165,317,508,734,988,1266,1566,1883
OFM-1200,49000,14,88,235,451,725,1046,1409,1805,2232,2684
OTM-1200,55000,16,99,268,513,824,1189,1601,2052,2537,3051
