,,Number of Spares,,,,,,,,,
Products,Telcorida MTBF (hrs.),1,2,3,4,5,6,7,8,9,10
BMM,179000,15,91,246,473,760,1097,1477,1893,2341,2816
NLM,63000,5,32,86,166,267,386,520,665,824,991
TEM,179000,15,91,246,473,760,1097,1477,1893,2341,2816
TAM,400000,33,205,551,1058,1699,2453,3302,4232,5232,6293
MCM,196000,16,100,270,518,832,1202,1618,2073,2563,3083
DTC,247000,20,126,340,653,1049,1514,2039,2613,3230,3886
D-FAN,286000,24,146,394,756,1215,1754,2361,3026,3741,4499
M-FAN,286000,24,146,394,756,1215,1754,2361,3026,3741,4499
D-PEM,1818000,153,932,2508,4809,7723,11150,15008,19235,23780,28603
OAM,250000,21,128,344,661,1062,1533,2063,2645,3270,3933
OMM,208000,17,106,286,550,883,1275,1717,2200,2720,3272
OTC,370000,31,189,510,978,1571,2269,3054,3914,4839,5821
O-FAN,833000,70,427,1149,2203,3538,5109,6877,8813,10896,13106
O-PEM,2000000,169,1025,2759,5291,8496,12266,16511,21161,26161,31467
A-FAN,833000,70,427,1149,2203,3538,5109,6877,8813,10896,13106
AAM,1213000,102,622,1673,3209,5153,7439,10014,12834,15867,19084
AMM,313000,26,160,431,828,1329,1919,2584,3311,4094,4924
ATN,935000,79,479,1290,2473,3972,5734,7719,9893,12230,14710
ATN-PS,1250000,105,641,1724,3306,5310,7666,10319,13226,16351,19666
OFM,2485000,210,1274,3428,6574,10557,15241,20515,26293,32505,39097
SIM,871000,73,446,1201,2304,3700,5342,7190,9215,11393,13703
BMM2,111000,9,56,153,293,471,680,916,1174,1451,1746
GAM,714000,60,366,985,1888,3033,4379,5894,7554,9339,11233
ANLM,63000,5,32,86,166,267,386,520,665,824,991
DSE,333000,28,170,459,880,1414,2042,2749,3523,4355,5239
OAM-LG,250000,21,128,344,661,1062,1533,2063,2645,3270,3933
ORM,208000,17,106,286,550,883,1275,1717,2200,2720,3272
RAM/REM,250000,21,128,344,661,1062,1533,2063,2645,3270,3933
CMM1D,83000,7,42,114,219,352,509,685,878,1085,1305
X-FAN,417000,35,213,575,1103,1771,2557,3442,4412,5454,6560
X-PEM,500000,42,256,689,1322,2124,3066,4127,5290,6540,7866
nLM-80,48000,4,24,66,126,203,294,396,507,627,755
OLM-500,31447,3,16,43,83,134,193,260,333,411,495
OLM2-500,31447,3,16,43,83,134,193,260,333,411,495
OTM,78000,6,40,107,206,331,478,643,825,1020,1227
OXM,167000,14,85,230,441,709,1024,1378,1767,2184,2627
SCM,167000,14,85,230,441,709,1024,1378,1767,2184,2627
TIM-100G,185000,15,94,255,489,785,1134,1527,1957,2419,2910
TIM-10G,200000,16,102,275,529,849,1226,1651,2116,2616,3146
TIM-40G,278000,23,142,383,735,1181,1705,2295,2941,3636,4373
TOM-100G,250000,21,128,344,661,1062,1533,2063,2645,3270,3933
TOM-10G,2222000,187,1139,3065,5878,9440,13628,18344,23510,29065,34959
TOM-1G,4000000,338,2051,5518,10582,16993,24533,33023,42323,52323,62934
TOM-2.5G,1538000,130,788,2122,4068,6534,9433,12697,16273,20118,24198
TOM-40G,385000,32,197,531,1018,1635,2361,3178,4073,5036,6057
TOM-nHD,2000000,169,1025,2759,5291,8496,12266,16511,21161,26161,31467
TSM,1000000,84,512,1379,2645,4248,6133,8255,10580,13080,15733
XCM,100000,8,51,137,264,424,613,825,1058,1308,1573
XTC-10,167000,14,85,230,441,709,1024,1378,1767,2184,2627
XTC-4,167000,14,85,230,441,709,1024,1378,1767,2184,2627
CX-500,31447,3,16,43,83,134,193,260,333,411,495
CX-FAN,4762000,403,2443,6570,12598,20231,29206,39313,50385,62290,74922
CX-PEM,1666667,141,855,2300,4409,7081,10222,13760,17635,21801,26223
XMM,200000,17,103,276,529,850,1227,1651,2116,2616,3147
CX-1200,70000,6,36,96,184,296,428,575,738,912,1097
CX2-FAN,4762000,403,2443,6570,12598,20231,29206,39313,50385,62290,74922
CX2-PEM,530000,45,272,731,1401,2250,3249,4373,5604,6928,8333
XMM2,200000,17,103,276,529,850,1227,1651,2116,2616,3147
XT-3300,70000,6,36,96,184,296,428,575,738,912,1097
XT-3600,34000,3,18,47,90,145,210,282,362,447,538
OFM-1200,49000,4,25,67,129,207,299,402,516,638,767
OTM-1200,55000,5,28,76,147,235,340,457,586,725,872
